id,Scrape Time,Symbol,Last Price,Change,Chg %,Currency,Market Time,Volume,Shares,Avg Vol (3m),Day Range,52-Wk Range,Day Chart,Market Cap
,12/28/2019 10:16:33 AM,INTC,60.08,+0.26,+0.43%,USD,4:00PM EST,14.086M,-,18.478M,-,-,-,18.478M
,12/28/2019 10:16:33 AM,CHL,42.07,+0.34,+0.81%,USD,4:02PM EST,1.116M,-,1.103M,-,-,-,1.103M
,12/28/2019 10:16:33 AM,PFE,39.32,-0.06,-0.15%,USD,4:03PM EST,9.386M,-,18.538M,-,-,-,18.538M
,12/28/2019 10:16:33 AM,BUD,83.12,+0.75,+0.91%,USD,4:02PM EST,752956,-,1.175M,-,-,-,1.175M
,12/28/2019 10:16:33 AM,AMZN,1869.80,+1.03,+0.06%,USD,4:00PM EST,6.189M,-,2.969M,-,-,-,2.969M
,12/28/2019 10:16:33 AM,MSFT,158.96,+0.29,+0.18%,USD,4:00PM EST,18.414M,-,21.822M,-,-,-,21.822M
,12/28/2019 10:16:33 AM,GOOGL,1354.64,-7.83,-0.57%,USD,4:00PM EST,1.161M,-,1.331M,-,-,-,1.331M
,12/28/2019 10:16:33 AM,AAPL,289.80,-0.11,-0.04%,USD,4:00PM EST,33.168M,-,25.692M,-,-,-,25.692M
,12/28/2019 10:16:33 AM,TSLA,430.38,-0.56,-0.13%,USD,4:00PM EST,9.957M,-,9.14M,-,-,-,9.14M
,12/28/2019 10:16:33 AM,VZ,61.53,+0.24,+0.39%,USD,4:02PM EST,7.878M,-,11.066M,-,-,-,11.066M
